# job-timeouts.tsv — the measured basis for every workflow's `timeout-minutes`.
#
# agent-ops-2026-07 P13 §3.6 / AC3 (B1). The first draft of that spec printed
# four p99s in prose and then said they were explicitly not the basis, so AC3
# had no source at all — the same "a print cannot red" defect the review had
# just caught one level up. This file IS the source: the gate reads it, so a
# stale timeout is a red line rather than a stale paragraph.
#
# REGENERATED, not hand-maintained: `scripts/ci-usage-report.sh --p99`
# (P13 K8) produces this file from GitHub's API. Do not hand-edit a row —
# rerun the command with the window you mean and commit the diff.
#
# Window: 2026-08-01..2026-08-11 (closed, both dates inclusive), repositories:
# ydnikolaev/a2ahub ydnikolaev/a2ahub-private. Durations are wall clock (completed_at - started_at) from
# GET /repos/{o}/{r}/actions/runs/{id}/jobs. `/actions/runs/{id}/timing`
# reports "total_ms": 0 for every job in this account and is unusable — do
# not regenerate from it (see this script's own header for how that was
# found).
#
# Identities with fewer than three samples are omitted rather than guessed,
# matching `make lane`'s own "no estimate (n=k)" discipline.
#
# THE SIZING RULE, and it is deliberately not just 1.5x p99:
#
#   timeout_min = min(60, max(5, ceil(1.5 * p99 / 60), ceil(max / 60) + 2))
#
# The `max` term is load-bearing. `Pages/deploy` has a p99 far below its
# max, and its longest observed runs concluded success — 1.5x p99 alone
# would size a timeout below an observed green run and cancel it. That is
# exactly the error an earlier hand-computed draft of this table made (a
# 20-minute `check` timeout below two successful 1313 s and 1239 s runs). A
# percentile describes the body; a timeout must clear the tail.
#
# The 60-minute CAP is a bound on the failure, not a performance target: at
# the macOS x10 multiplier a capped job bills 600 equivalent minutes,
# survivable inside the 1500-minute monthly budget (ADR-012), where the
# 360-minute GitHub default bills 3600 — more than the whole month. An
# identity that genuinely needs more than the cap is a finding, not a
# configuration.
#
# RE-DERIVE AFTER THE CEILING MOVES. Spec §3.6: once a wave relocates the
# private repo's `make check` off push-to-main, this table's tail (today
# dominated by that traffic) will fall, and every timeout sized from it
# becomes over-generous until it is regenerated against the new window —
# pass --since/--until explicitly rather than moving this file's default.
#
# identity	p50_s	p99_s	max_s	n	timeout_min
Pages/deploy	23	1768	1768	57	45
CI/check	88	642	689	205	17
Release/goreleaser	272	426	426	13	11
Dependabot	58	381	381	13	10
CodeQL/analyze	9	140	140	138	5
Release/cohort	24	81	81	13	5
a2a-validate-dogfood/a2a-validate / validate	18	78	78	27	5
CI/macos-notifier	50	74	76	205	5
CI/skill-drift	21	73	85	205	5
Release/macos-notifier	38	59	59	13	5
govulncheck/govulncheck	32	51	51	25	5
Release/vscode-notifier	14	21	21	13	5
gitleaks/gitleaks	10	14	23	134	5
classify-guard/no-private-paths	6	9	14	134	5
feedback-intake/arm-feedback	5	9	9	27	5
feedback-intake/validate-feedback-policy	5	7	7	27	5
feedback-intake/merge-policy	3	5	5	27	5
